Row_ID,Order_ID,Sales
1,CA-2016-152156,261.96
2,CA-2016-152156,731.94
4,US-2015-108966,957.58
8,CA-2014-115812,907.15
11,CA-2014-115812,1706.18
12,CA-2014-115812,911.42
14,CA-2016-161389,407.98
17,CA-2014-105893,665.88
25,CA-2015-106320,1044.63
28,US-2015-150630,3083.43
36,CA-2016-117590,1097.54
39,CA-2015-117415,532.40
41,CA-2015-117415,371.17
55,CA-2016-105816,1029.95
58,CA-2016-111682,319.41
68,CA-2014-106376,1113.02
73,US-2015-134026,831.94
86,CA-2017-140088,301.96
104,US-2015-156867,238.90
110,CA-2015-129476,339.96
118,CA-2015-110457,787.53
125,US-2014-152030,600.56
126,US-2014-134614,617.70
128,US-2017-107272,243.99
130,US-2016-125969,238.56
145,CA-2017-155376,839.43
146,CA-2015-110744,671.93
148,CA-2016-114489,384.45
150,CA-2016-114489,1951.84
158,CA-2014-104269,457.57
160,CA-2016-114104,944.93
166,CA-2014-139892,8159.95
167,CA-2014-139892,275.93
168,CA-2014-139892,1740.06
174,CA-2014-118962,340.14
178,US-2015-101511,396.80
182,CA-2014-166191,408.74
183,CA-2014-158274,503.96
190,CA-2015-102281,899.14
193,CA-2015-102281,626.35
206,CA-2017-108329,444.77
214,CA-2015-146262,452.45
216,CA-2015-146262,1188.00
219,CA-2016-130162,302.38
224,CA-2015-169397,479.99
227,CA-2015-163055,622.45
230,US-2015-145436,389.70
233,US-2017-100930,620.61
235,US-2017-100930,258.07
236,US-2017-100930,617.98
239,CA-2016-157749,419.68
245,CA-2014-131926,2001.86
248,CA-2014-131926,1503.25
250,CA-2016-154739,321.57
252,CA-2016-145625,3347.37
254,CA-2016-146941,361.92
258,US-2015-159982,647.90
263,US-2014-106992,3059.98
264,US-2014-106992,2519.96
265,CA-2016-125318,328.22
271,CA-2017-163979,725.84
282,US-2015-161991,1114.40
283,CA-2015-130890,1038.84
285,CA-2015-130883,239.80
287,CA-2016-112697,254.06
289,CA-2016-112697,961.48
292,CA-2016-110772,255.98
294,CA-2014-111451,300.42
308,CA-2014-111003,289.20
311,CA-2016-142902,466.77
319,CA-2014-164973,3991.98
320,CA-2014-164973,275.94
321,CA-2014-164973,360.00
324,CA-2016-162138,251.52
327,US-2016-141544,290.90
329,US-2016-141544,786.74
336,CA-2015-137946,959.98
339,CA-2014-129924,698.35
342,CA-2014-122336,509.97
354,CA-2016-129714,4355.17
355,CA-2016-138520,388.70
360,CA-2017-155698,647.84
363,CA-2017-144904,488.65
370,CA-2016-155516,1043.92
374,US-2014-119137,1023.94
376,US-2014-119137,479.04
378,US-2017-134481,1488.42
385,US-2015-168935,375.46
387,CA-2015-122756,482.34
392,US-2014-135972,246.38
393,US-2014-135972,1799.97
400,CA-2016-108987,2396.27
407,CA-2017-117457,1199.98
409,CA-2017-117457,1004.02
413,CA-2017-117457,1336.83
416,CA-2017-142636,307.14
418,CA-2016-148796,383.80
425,CA-2017-155705,866.40
427,CA-2017-149160,287.92
431,US-2016-123750,408.74
432,US-2016-123750,291.96
434,CA-2016-127369,714.30
436,US-2014-150574,247.80
437,CA-2016-147375,1007.98
438,CA-2016-147375,313.49
445,CA-2016-115756,242.94
450,CA-2016-166674,263.88
454,CA-2017-147277,284.36
455,CA-2017-147277,665.41
458,US-2016-157945,747.56
461,CA-2015-109638,899.91
464,CA-2016-109869,1272.63
468,US-2015-101399,254.74
472,CA-2014-144666,340.92
474,CA-2014-144666,703.97
481,CA-2016-100790,704.25
486,CA-2017-140963,514.17
487,CA-2017-140963,279.96
488,CA-2014-154627,2735.95
492,CA-2014-113362,449.15
498,CA-2016-126158,255.76
499,CA-2016-126158,241.57
503,US-2016-105578,801.57
510,CA-2015-145352,6354.95
516,CA-2017-127432,2999.95
519,CA-2017-127432,1126.02
527,CA-2017-113558,683.95
530,US-2015-138303,666.25
534,CA-2016-168753,979.95
540,CA-2015-134894,283.92
541,CA-2014-140795,468.90
542,CA-2016-136924,380.86
543,US-2015-120161,646.78
549,CA-2015-113173,250.27
552,CA-2016-136406,1121.57
555,CA-2017-100650,1295.78
558,CA-2016-113243,1335.68
566,CA-2017-137099,374.38
570,CA-2017-156951,451.15
582,CA-2017-145233,470.38
586,CA-2017-145233,406.37
588,CA-2015-128139,294.93
596,CA-2014-131450,1199.98
597,CA-2014-131450,445.96
598,CA-2014-131450,327.76
601,US-2016-100720,494.38
611,CA-2016-161816,369.58
614,CA-2016-121223,728.95
623,CA-2015-138009,301.96
624,CA-2015-138009,555.21
625,CA-2015-138009,523.48
631,US-2016-135720,243.38
633,US-2016-135720,300.77
635,CA-2017-144694,235.94
636,CA-2015-168004,392.94
639,CA-2016-115917,1049.20
642,CA-2017-167913,330.40
650,CA-2016-160745,302.38
651,CA-2016-160745,316.00
652,CA-2016-132661,379.40
658,US-2016-156097,701.37
660,CA-2015-146563,999.43
661,CA-2015-146563,724.08
662,CA-2015-146563,918.79
664,CA-2016-123666,459.95
668,CA-2017-132682,381.58
684,US-2017-168116,7999.98
686,CA-2014-157784,479.97
691,US-2014-117135,284.82
704,CA-2015-142027,369.91
709,CA-2014-112158,883.92
713,US-2017-100048,281.34
714,US-2017-100048,307.98
715,US-2017-100048,299.97
722,CA-2016-142335,1652.94
723,CA-2016-142335,296.37
729,US-2016-150861,400.03
731,US-2016-150861,542.65
